"ObjectID","Medium"
-1,
0,
1,Albumen silver print
2,Albumen silver print
3,Gelatin silver print
4,Gelatin silver print
5,Gelatin silver print
6,Platinum print
7,Gelatin silver print
8,Albumen silver print
9,Gelatin silver print
10,Gelatin silver print
11,Gelatin silver print
12,Chromogenic print
13,Chromogenic print
14,Plant material
15,Albumen silver print
16,Albumen silver print
17,Albumen silver print
18,Albumen silver print
19,Calotypes
20,Albumen silver print
21,Gelatin silver print
22,Gelatin silver print
23,Albumen silver print
24,Gelatin silver print
25,Gelatin silver print
26,
27,
30,Gelatin silver print
31,Gelatin silver print
32,Gelatin silver print
33,Gelatin silver print
34,Gelatin silver print
35,Albumen silver print
36,Gelatin silver print
37,
38,Gelatin silver print
39,Albumen silver print
41,"Gelatin silver print, toning"
42,Gelatin silver print
43,Gelatin silver print
44,
45,Albumen silver print
46,Gelatin silver print
47,Gelatin silver print
48,
49,Gelatin silver print
50,Ambrotype
51,Gelatin silver print
52,Gelatin silver print
53,
54,
55,
56,
57,
58,
59,Gelatin silver print
60,Gelatin silver print
61,Collotype
62,Ambrotype
63,Albumen silver print
65,Gelatin silver print
66,Gelatin silver print
67,Gelatin silver print
68,Gelatin silver print
69,Chromogenic print
70,Albumen silver print
71,
72,
73,
74,
75,
76,Gelatin silver print
77,Gelatin silver print
78,Gelatin silver print
79,Platinum print
80,Gelatin silver print
81,Gelatin silver print
82,Gelatin silver print
83,Gelatin silver print
84,Platinum print
85,Gelatin silver print
86,Albumen silver print
87,Albumen silver print
88,Albumen silver print
89,Albumen silver print
90,Albumen silver print
91,
92,
93,Gelatin silver print
94,Chromogenic print
95,Gelatin silver print
96,Offset lithography
97,
98,Gelatin silver print
99,Daguerreotype
100,Gelatin silver print
101,Gelatin silver print
102,Gelatin silver print
103,Albumen silver print
104,Albumen silver print
105,Albumen silver print
106,Albumen silver print
107,Albumen silver print
109,Albumen silver print
110,Albumen silver print
111,Albumen silver print
112,Albumen silver print
113,Albumen silver print
114,Albumen silver print
115,Albumen silver print
116,Albumen silver print
117,Albumen silver print
118,Gelatin silver print
119,Chromogenic print
120,Plant material
121,
122,
123,
124,Albumen silver print
125,Gelatin silver print
126,Gelatin silver print
127,Gelatin silver print
128,Gelatin silver print
129,Gelatin silver print
130,Gelatin silver print
131,Photomechanical reproduction
132,Gelatin silver print
133,Gelatin silver print
134,Photomechanical reproduction
135,Photomechanical reproduction
136,Photomechanical reproduction
137,Photomechanical reproduction
138,Photomechanical reproduction
139,Photomechanical reproduction
140,Photomechanical reproduction
141,Photomechanical reproduction
142,Photomechanical reproduction
143,Photomechanical reproduction
144,Photomechanical reproduction
145,Photomechanical reproduction
146,Photomechanical reproduction
147,Photomechanical reproduction
148,Photomechanical reproduction
149,Photomechanical reproduction
150,Photomechanical reproduction
151,Photomechanical reproduction
152,Photomechanical reproduction
153,Photomechanical reproduction
154,Photomechanical reproduction
155,Photomechanical reproduction
156,Photomechanical reproduction
157,Photomechanical reproduction
158,Photomechanical reproduction
159,Photomechanical reproduction
160,Photomechanical reproduction
161,Photomechanical reproduction
162,Photomechanical reproduction
163,Photomechanical reproduction
164,Photomechanical reproduction
165,Photomechanical reproduction
166,Photomechanical reproduction
167,Photomechanical reproduction
168,Photomechanical reproduction
169,Photomechanical reproduction
170,Photomechanical reproduction
171,Photomechanical reproduction
172,Photomechanical reproduction
173,Photomechanical reproduction
174,Photomechanical reproduction
175,Photomechanical reproduction
176,Photomechanical reproduction
177,Photomechanical reproduction
178,Photomechanical reproduction
179,Photomechanical reproduction
180,Photomechanical reproduction
181,Photomechanical reproduction
182,Photomechanical reproduction
183,Photomechanical reproduction
184,Photomechanical reproduction
185,Gelatin silver print
186,Gelatin silver print
187,Gelatin silver print
188,Photomechanical reproduction
189,Photomechanical reproduction
190,Photomechanical reproduction
191,Photomechanical reproduction
192,Gelatin silver print
193,Gelatin silver print
194,Gelatin silver print
195,Gelatin silver print
197,Gelatin silver print
198,Gelatin silver print
199,Gelatin silver print
200,Gelatin silver print
201,Gelatin silver print
202,Gelatin silver print
203,Gelatin silver print
204,Gelatin silver print
205,Gelatin silver print
206,Gelatin silver print
207,Gelatin silver print
208,Gelatin silver print
209,Gelatin silver print
210,Photomechanical reproduction
211,Gelatin silver print
212,Gelatin silver print
213,Gelatin silver print
214,Gelatin silver print
215,Gelatin silver print
216,Photomechanical reproduction
217,Photomechanical reproduction
218,Photomechanical reproduction
219,Gelatin silver print
220,Gelatin silver print
221,Gelatin silver print
222,Gelatin silver print
223,Gelatin silver print
224,Gelatin silver print
225,Photomechanical reproduction
226,Gelatin silver print
227,Gelatin silver print
228,Gelatin silver print
229,Gelatin silver print
231,Photomechanical reproduction
232,Photomechanical reproduction
233,Photomechanical reproduction
234,Photomechanical reproduction
235,Gelatin silver print
236,Gelatin silver print
240,Photomechanical reproduction
241,Photomechanical reproduction
242,Photomechanical reproduction
243,Photomechanical reproduction
247,Gelatin silver print
248,Gelatin silver print
249,Photomechanical reproduction
250,Photomechanical reproduction
251,Photomechanical reproduction
252,Gelatin silver print
253,Gelatin silver print
254,Gelatin silver print
255,Gelatin silver print
256,Gelatin silver print
257,Photomechanical reproduction
258,Photomechanical reproduction
259,Photomechanical reproduction
260,Gelatin silver print
261,Gelatin silver print
262,Gelatin silver print
263,Gelatin silver print
264,Gelatin silver print
265,Gelatin silver print
266,Gelatin silver print
267,Gelatin silver print
268,Gelatin silver print
269,Gelatin silver print
270,Gelatin silver print
271,Gelatin silver print
272,Photomechanical reproduction
273,Photomechanical reproduction
274,Gelatin silver print
275,Gelatin silver print
276,Gelatin silver print
277,Gelatin silver print
278,Gelatin silver print
279,Gelatin silver print
280,Photomechanical reproduction
281,Gelatin silver print
282,Gelatin silver print
283,Gelatin silver print
284,Gelatin silver print
285,Gelatin silver print
286,Photomechanical reproduction
287,Photomechanical reproduction
288,Photomechanical reproduction
289,Gelatin silver print
290,Gelatin silver print
291,Gelatin silver print
292,Gelatin silver print
293,Gelatin silver print
294,Gelatin silver print
295,Photomechanical reproduction
296,Gelatin silver print
297,Gelatin silver print
298,Gelatin silver print
300,Gelatin silver print
301,Gelatin silver print
302,Gelatin silver print
303,Gelatin silver print
304,Gelatin silver print
305,Gelatin silver print
306,Gelatin silver print
307,Photomechanical reproduction
308,Photomechanical reproduction
309,Photomechanical reproduction
310,Gelatin silver print
311,Gelatin silver print
312,Gelatin silver print
313,Gelatin silver print
314,Gelatin silver print
315,Photomechanical reproduction
316,Photomechanical reproduction
317,Photomechanical reproduction
318,Gelatin silver print
320,Photomechanical reproduction
321,Photomechanical reproduction
322,Photomechanical reproduction
323,Photomechanical reproduction
324,Photomechanical reproduction
325,Photomechanical reproduction
326,Photomechanical reproduction
327,Photomechanical reproduction
328,Photomechanical reproduction
329,Photomechanical reproduction
330,Photomechanical reproduction
331,Photomechanical reproduction
332,Gelatin silver print
333,Gelatin silver print
334,Gelatin silver print
335,Gelatin silver print
336,Gelatin silver print
337,Photomechanical reproduction
338,Photomechanical reproduction
339,Gelatin silver print
340,Gelatin silver print
341,Gelatin silver print
342,Gelatin silver print
343,Gelatin silver print
344,Gelatin silver print
345,Gelatin silver print
346,Gelatin silver print
347,Gelatin silver print
348,Gelatin silver print
349,Gelatin silver print
350,Photomechanical reproduction
351,Photomechanical reproduction
352,Photomechanical reproduction
353,Photomechanical reproduction
354,Gelatin silver print
355,Gelatin silver print
356,Gelatin silver print
357,Gelatin silver print
358,Gelatin silver print
359,Photomechanical reproduction
360,Photomechanical reproduction
361,Photomechanical reproduction
362,Gelatin silver print
363,Gelatin silver print
364,Gelatin silver print
365,Gelatin silver print
366,Gelatin silver print
367,Photomechanical reproduction
368,Photomechanical reproduction
369,Photomechanical reproduction
370,Gelatin silver print
371,Gelatin silver print
372,Gelatin silver print
373,Gelatin silver print
374,Gelatin silver print
375,Photomechanical reproduction
376,Photomechanical reproduction
377,Photomechanical reproduction
378,Gelatin silver print
379,Gelatin silver print
380,Gelatin silver print
381,Gelatin silver print
382,Gelatin silver print
383,Gelatin silver print
384,Photomechanical reproduction
385,Gelatin silver print
386,Gelatin silver print
387,Gelatin silver print
388,Gelatin silver print
389,Gelatin silver print
390,Photomechanical reproduction
391,Photomechanical reproduction
392,Photomechanical reproduction
393,Gelatin silver print
394,Gelatin silver print
395,Gelatin silver print
396,Gelatin silver print
397,Gelatin silver print
398,Photomechanical reproduction
399,Photomechanical reproduction
400,Photomechanical reproduction
401,Gelatin silver print
402,Gelatin silver print
403,Gelatin silver print
404,Gelatin silver print
405,Gelatin silver print
406,Photomechanical reproduction
407,Photomechanical reproduction
408,Photomechanical reproduction
410,Gelatin silver print
411,Gelatin silver print
412,Gelatin silver print
413,Gelatin silver print
414,Photomechanical reproduction
415,Photomechanical reproduction
416,Photomechanical reproduction
417,Gelatin silver print
418,Gelatin silver print
419,Gelatin silver print
420,Gelatin silver print
421,Gelatin silver print
422,Photomechanical reproduction
423,Photomechanical reproduction
424,Photomechanical reproduction
425,Gelatin silver print
426,Gelatin silver print
427,Gelatin silver print
428,Gelatin silver print
429,Gelatin silver print
430,Photomechanical reproduction
431,Photomechanical reproduction
432,Photomechanical reproduction
433,Gelatin silver print
434,Gelatin silver print
435,Gelatin silver print
436,Gelatin silver print
437,Gelatin silver print
438,Photomechanical reproduction
439,Photomechanical reproduction
440,Photomechanical reproduction
441,Photomechanical reproduction
442,Gelatin silver print
444,Gelatin silver print
445,Gelatin silver print
446,Gelatin silver print
447,Gelatin silver print
448,Photomechanical reproduction
449,Gelatin silver print
450,Gelatin silver print
451,Gelatin silver print
452,Gelatin silver print
453,Gelatin silver print
454,Gelatin silver print
455,Photomechanical reproduction
456,Gelatin silver print
457,Gelatin silver print
458,Gelatin silver print
459,Gelatin silver print
460,Gelatin silver print
461,Photomechanical reproduction
462,Photomechanical reproduction
463,Photomechanical reproduction
464,Gelatin silver print
465,Gelatin silver print
466,Gelatin silver print
467,Gelatin silver print
468,Gelatin silver print
470,Photomechanical reproduction
472,Gelatin silver print
473,Gelatin silver print
474,Gelatin silver print
475,Gelatin silver print
476,Photomechanical reproduction
477,Photomechanical reproduction
478,Photomechanical reproduction
479,Gelatin silver print
480,Gelatin silver print
481,Gelatin silver print
482,Gelatin silver print
483,Gelatin silver print
484,Photomechanical reproduction
485,Photomechanical reproduction
486,Gelatin silver print
487,Gelatin silver print
488,Gelatin silver print
489,Gelatin silver print
490,Gelatin silver print
491,Photomechanical reproduction
