"COUNT(DISTINCT o.Object_ID)","Classification","Department"
177,Archival material(s),Art & Architecture
10,Book- Pamphlet volume,Art & Architecture
2,Book- Published volume(s),Art & Architecture
1,Object,Art & Architecture
2,Painting,Art & Architecture
1,Postal card,Art & Architecture
1,(not assigned),DEACCESSIONED
38,Photograph,DEACCESSIONED
1,(not assigned),DL
2,Paper Negative,DL
440,Photograph,DL
1712,Study print,DL
2,(not assigned),Ephemera
92304,Archival material(s),Ephemera
119,Photograph,Ephemera
35,Photograph- CDV,Ephemera
37,Photograph- Cabinet Card,Ephemera
3,Photomechanical Reproduction,Ephemera
1,Postal card,Ephemera
8,Print,Ephemera
76,Photograph,LPA DANCE
1,Archival material(s),Other NYPL
1,Book- Pamphlet volume,Other NYPL
1,Book- Published volume(s),Other NYPL
6,Book- Scrapbook,Other NYPL
50,Collection,Other NYPL
1,Drawing,Other NYPL
1,Film- Slide Positive(s),Other NYPL
23,Photograph,Other NYPL
2,(not assigned),Paintings & Sculpture
32,Object,Paintings & Sculpture
123,Painting,Paintings & Sculpture
177,(not assigned),Photography Collection
318,Archival material(s),Photography Collection
22,Artists' books,Photography Collection
1,Assemblage,Photography Collection
568,Book- Album,Photography Collection
213,Book- Pamphlet volume,Photography Collection
1770,Book- Published volume(s),Photography Collection
96,Book- Scrapbook,Photography Collection
1745,Collection,Photography Collection
2,Computer disk,Photography Collection
6,DVD / CD,Photography Collection
5942,Digital image file,Photography Collection
45,Drawing,Photography Collection
1,Film reel,Photography Collection
9379,Film- Negative(s),Photography Collection
16494,Film- Slide Positive(s),Photography Collection
431,Glass,Photography Collection
6,Manuscript,Photography Collection
95,Object,Photography Collection
4,Painting,Photography Collection
2,Paper Negative,Photography Collection
143415,Photograph,Photography Collection
1920,Photograph- CDV,Photography Collection
2309,Photograph- Cabinet Card,Photography Collection
27551,Photograph- Color Process,Photography Collection
115,Photograph- Digital Process,Photography Collection
42835,Photograph- Stereograph,Photography Collection
4492,Photomechanical Reproduction,Photography Collection
353,Portfolio,Photography Collection
14918,Postal card,Photography Collection
182,Print,Photography Collection
141,Publication,Photography Collection
53,Series,Photography Collection
1,Study print,Photography Collection
10009,Archival material(s),Picture Collection
24,(not assigned),Print Collection
10,Archival material(s),Print Collection
626,Artists' books,Print Collection
2,Assemblage,Print Collection
121,Book- Album,Print Collection
157,Book- Pamphlet volume,Print Collection
129,Book- Published volume(s),Print Collection
7,Book- Scrapbook,Print Collection
121,Collection,Print Collection
1,Computer disk,Print Collection
2223,Drawing,Print Collection
1,Film reel,Print Collection
2,Manuscript,Print Collection
1463,Object,Print Collection
20,Painting,Print Collection
145,Photograph,Print Collection
2,Photograph- CDV,Print Collection
1,Photograph- Color Process,Print Collection
1,Photograph- Digital Process,Print Collection
1,Photograph- Stereograph,Print Collection
31,Photomechanical Reproduction,Print Collection
522,Portfolio,Print Collection
64,Postal card,Print Collection
54248,Print,Print Collection
39,Publication,Print Collection
485,Series,Print Collection
4,Sound disc,Print Collection
7,Study print,Print Collection
3,Videocassette,Print Collection
4463,(not assigned),Spencer Collection
3,Archival material(s),Spencer Collection
60,Artists' books,Spencer Collection
30,Book- Album,Spencer Collection
188,Book- Published volume(s),Spencer Collection
2,Collection,Spencer Collection
50,Drawing,Spencer Collection
552,Manuscript,Spencer Collection
36,Object,Spencer Collection
270,Photograph,Spencer Collection
1,Photograph- Color Process,Spencer Collection
7,Photomechanical Reproduction,Spencer Collection
7,Portfolio,Spencer Collection
36,Print,Spencer Collection
23,Publication,Spencer Collection
